emissor_id,codigo_cvm,cnpj,denominacao_cvm,alias_historico,validade_inicio,validade_fim,fonte,data_consulta,status_revisao
BBAS,1023,00.000.000/0001-91,BANCO DO BRASIL S.A.,BANCO DO BRASIL,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
BBDC,906,60.746.948/0001-12,BANCO BRADESCO S.A.,BANCO BRADESCO,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
BPAC,22616,30.306.294/0001-45,BANCO BTG PACTUAL S/A,BTG PACTUAL,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
BRFS,16292,01.838.723/0001-27,BRF S.A.,BRF,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
BVMF,21610,09.346.601/0001-25,"B3 S.A. - BRASIL, BOLSA, BALCÃO",BM&FBOVESPA / B3,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
CIEL,21733,01.027.058/0001-91,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO,CIELO,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
CMIG,2453,17.155.730/0001-64,CIA ENERG MINAS GERAIS - CEMIG,CEMIG,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
CSNA,4030,33.042.730/0001-04,CIA SIDERURGICA NACIONAL,CSN,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
ELET,2437,00.001.180/0001-26,AXIA ENERGIA S.A.,ELETROBRAS / AXIA,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
GGBR,3980,33.611.500/0001-19,GERDAU S.A.,GERDAU,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
GOAU,8656,92.690.783/0001-09,METALURGICA GERDAU SA,METALURGICA GERDAU,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
ITSA,7617,61.532.644/0001-15,ITAUSA S.A.,ITAUSA,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
ITUB,19348,60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,ITAU UNIBANCO,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
JBSS,20575,02.916.265/0001-60,JBS SA,JBS,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
KROT,17973,02.800.026/0001-40,COGNA EDUCAÇÃO S.A.,KROTON / COGNA,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
LREN,8133,92.754.738/0001-62,LOJAS RENNER SA,LOJAS RENNER,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
MGLU,22470,47.960.950/0001-21,MAGAZINE LUIZA SA,MAGAZINE LUIZA,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
PETR,9512,33.000.167/0001-01,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,PETROBRAS,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
PRIO,22187,10.629.105/0001-68,PRIO S.A.,PETRORIO / PRIO,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
RENT,19739,16.670.085/0001-55,LOCALIZA RENT A CAR SA,LOCALIZA,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
SUZB,13986,16.404.287/0001-55,SUZANO S.A.,SUZANO PAPEL / SUZANO,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
USIM,14320,60.894.730/0001-05,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIMINAS,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
VVAR,6505,33.041.260/0652-90,GRUPO CASAS BAHIA S.A.,VIA VAREJO / VIA / GRUPO CASAS BAHIA,2015-01-02,,CVM CAD + IPE,2026-08-11,confirmado
