ticker_antigo,ticker_novo,nome_antigo,nome_novo,isin_antigo,isin_novo,especie_antiga,especie_nova,ultimo_pregao_antigo,primeiro_pregao_novo,intervalo_pregoes,razao_precos,voltot_mediano_antes,voltot_mediano_depois,melhor_posicao_antigo,melhor_posicao_novo,criterio_relevancia,metodo_deteccao,yf_ticker_consultado,yf_primeira_data,yf_ultima_data,n_datas_sobrepostas,n_datas_eventos_excluidas,corr_retornos,erro_retorno_mediano,erro_retorno_p95,razao_precos_mediana,dispersao_razao_precos,resultado_validacao_yf,motivo_validacao_yf,validation_version,prioridade,suggested_corporate_lineage_id,canonical_instrument_id,corporate_lineage_id,tipo_evento,proporcao_conversao,tratar_retorno_fronteira,continuidade_autorizada,fonte,data_confirmacao,revisor,status,observacoes,detector_version,reviewed_detector_version,needs_revalidation,diagnostic_hash
VVAR3,VIIA3,VIAVAREJO,VIA,BRVVARACNOR1,BRVIIAACNOR7,ON,ON,2021-08-13,2021-08-16,1,0.9389,521535094.0,315089968.0,6.0,24.0,top100,media,BHIA3,2014-01-02,2026-07-30,1451,12,0.967791,3e-08,9e-08,21.873108,0.008777,retornos_consistentes_sem_quebra_escala,"validado pelo terminal da cadeia (BHIA3), pois VIIA3 nao tem serie util no Yahoo; retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9678, 1451 datas); escala reajustada por fator 21.8731",1.0.0,alta,BHIA3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,9d4f64632b74690f
BVMF3,B3SA3,BMFBOVESPA,B3,BRBVMFACNOR3,BRB3SAACNOR6,ON,ON,2018-03-23,2018-03-26,1,1.009,208519905.0,219725221.5,7.0,5.0,top100,media,B3SA3,2014-01-02,2026-07-30,797,32,0.989238,8e-08,0.00724742,0.333333,0.002206,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 8.0e-08, correlacao 0.9892, 797 datas); escala reajustada por fator 0.3333",1.0.0,alta,B3SA3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,8e23f53beb5eb168
KROT3,COGN3,KROTON,COGNA ON,BRKROTACNOR9,BRCOGNACNOR2,ON,ON,2019-10-10,2019-10-11,1,1.026,175106470.0,125092037.0,11.0,22.0,top100,media,COGN3,2014-01-02,2026-07-30,1181,42,0.993146,4e-08,0.00731535,0.909091,0.002456,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 4.0e-08, correlacao 0.9931, 1181 datas); escala reajustada por fator 0.9091",1.0.0,alta,COGN3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,a46e60e2335a20cb
BRFS3,MBRF3,BRF SA,MARFRIG,BRBRFSACNOR8,BRMBRFACNOR1,ON,ON,2025-09-22,2025-09-23,1,1.0975,129966646.0,222663407.5,11.0,,top100+ponta_curta,media,MBRF3,2014-01-02,2026-07-30,2660,20,0.442211,0.01601145,0.05934,0.545434,0.65323,retornos_divergentes,erro mediano de retorno 1.60e-02 acima de 1e-05; p95 do erro 0.0593 acima de 0.02; correlacao de retornos 0.4422 abaixo de 0.95,1.0.0,alta,BRFS3,,,,,pendente_revisao,nao,,,,pendente,,1.0.0,,nao,106530337e112f92
ELET3,AXIA3,ELETROBRAS,AXIA ENERGIA,BRELETACNOR6,BRAXIAACNOR0,ON,ON,2025-11-07,2025-11-10,1,1.014,304126600.0,623882861.5,11.0,,top100+ponta_curta,media,AXIA3,2014-01-02,2026-07-30,2694,26,0.982715,3e-08,1e-07,1.0,0.00338,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9827, 2694 datas)",1.0.0,alta,AXIA3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,bb7fecb4c0dd2b65
EMBR3,EMBJ3,EMBRAER,EMBRAER,BREMBRACNOR4,BREMBJACNOR1,ON,ON,2025-10-31,2025-11-03,1,1.0032,353612530.0,373477330.0,16.0,,top100+ponta_curta,alta,EMBJ3,2014-01-02,2026-07-30,2689,44,0.999939,3e-08,7e-08,1.0,0.000218,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9999, 2689 datas)",1.0.0,alta,EMBJ3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,b5ca48d3f9f28e42
BTOW3,AMER3,B2W DIGITAL,AMERICANAS,BRBTOWACNOR8,BRAMERACNOR6,ON,ON,2021-07-16,2021-07-19,1,0.9106,170484590.0,235131630.0,18.0,,top100+ponta_curta,media,AMER3,2014-01-02,2026-07-30,1615,6,0.996438,3e-08,0.00677982,97.968938,0.01513,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9964, 1615 datas); escala reajustada por fator 97.9689",1.0.0,alta,AMER3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,eeed892121e81a1f
CCRO3,MOTV3,CCR SA,MOTIVA SA,BRCCROACNOR2,BRMOTVACNOR7,ON,ON,2025-04-30,2025-05-02,1,1.0394,129006734.5,86644485.0,18.0,,top100+ponta_curta,media,MOTV3,2014-01-02,2026-07-30,2559,48,0.995231,2e-08,7e-08,1.0,0.001732,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 2.0e-08, correlacao 0.9952, 2559 datas)",1.0.0,alta,CCRO3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,998b86d66ff169e5
SUZB5,SUZB3,SUZANO PAPEL,SUZANO PAPEL,BRSUZBACNPA3,BRSUZBACNOR0,PNA,ON,2017-11-09,2017-11-10,1,0.973,70212469.0,60259561.5,19.0,9.0,top100,media,SUZB3,2014-01-02,2026-07-30,709,12,,0.01481481,0.052872,1.420156,0.196563,retornos_divergentes,erro mediano de retorno 1.48e-02 acima de 1e-05; p95 do erro 0.0529 acima de 0.02,1.0.0,alta,SUZB3,,,,,pendente_revisao,nao,,,,pendente,especie difere entre as pontas: nao pode ser rename_1to1 sem confirmar proporcao e direitos,1.0.0,,nao,2e3f76025b8ee6b0
BRDT3,VBBR3,PETROBRAS BR,VIBRA,BRBRDTACNOR1,BRVBBRACNOR1,ON,ON,2021-10-21,2021-10-22,1,0.9764,294623268.0,175102469.5,23.0,20.0,top100,media,VBBR3,2018-03-14,2026-07-30,893,22,0.999813,3e-08,8e-08,0.933618,0.000392,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9998, 893 datas); escala reajustada por fator 0.9336",1.0.0,alta,BRDT3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,21d37ffba0346c77
ESTC3,YDUQ3,ESTACIO PART,YDUQS PART,BRESTCACNOR5,BRYDUQACNOR3,ON,ON,2019-07-22,2019-07-23,1,1.0251,71808889.5,68937281.0,23.0,52.0,top100,media,YDUQ3,2014-01-02,2026-07-30,1123,22,0.993087,3e-08,0.0093963,1.0,0.002552,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9931, 1123 datas)",1.0.0,alta,ALOS3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,0c12f17488a5b977
ESTC3,ALSO3,ESTACIO PART,ALIANSCSONAE,BRESTCACNOR5,BRALSOACNOR5,ON,ON,2019-07-22,2019-08-06,11,1.0442,71808889.5,28146917.0,23.0,82.0,top100,media,ALSO3,,,0,0,,,,,,serie_ausente,yfinance nao tem serie para o ticker novo,1.0.0,alta,ALOS3,,,,,pendente_revisao,nao,,,,pendente,,1.0.0,,nao,b8f8ec2aa550bf79
VIIA3,BHIA3,VIA,CASAS BAHIA,BRVIIAACNOR7,BRBHIAACNOR1,ON,ON,2023-09-19,2023-09-20,1,1.0,121074754.5,40533557.5,24.0,,top100,media,BHIA3,2014-01-02,2026-07-30,524,6,0.957855,2e-08,7e-08,21.873108,0.065849,retornos_consistentes_com_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 2.0e-08, correlacao 0.9579, 524 datas); escala reajustada por fator 21.8731; razao de precos INSTAVEL (dispersao 0.066): houve evento societario no periodo, a serie nao e uma simples renomeacao com fator unico",1.0.0,alta,BHIA3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,aa3c88f27b9ab8f5
RRRP3,BRAV3,3R PETROLEUM,BRAVA,BRRRRPACNOR5,BRBRAVACNOR3,ON,ON,2024-09-06,2024-09-09,1,0.9598,110263878.5,129841294.0,26.0,,top100,media,BRAV3,2020-11-12,2026-07-30,951,8,0.999597,2e-08,8e-08,0.984436,0.009074,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 2.0e-08, correlacao 0.9996, 951 datas); escala reajustada por fator 0.9844",1.0.0,alta,BRAV3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,3f91b791c7b0e433
MRFG3,MBRF3,MARFRIG,MARFRIG,BRMRFGACNOR0,BRMBRFACNOR1,ON,ON,2025-09-22,2025-09-23,1,0.9328,120140157.0,222663407.5,33.0,,top100+ponta_curta,alta,MBRF3,2014-01-02,2026-07-30,2660,20,0.997039,4e-08,0.0024067,0.99433,0.00282,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 4.0e-08, correlacao 0.9970, 2660 datas)",1.0.0,alta,BRFS3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,7de3e30feee8e332
ELET6,AXIA6,ELETROBRAS,AXIA ENERGIA,BRELETACNPB7,BRAXIAACNPB1,PNB,PNB,2025-11-07,2025-11-10,1,1.0187,62652242.0,98075892.5,41.0,,top100+ponta_curta,media,AXIA6,2026-06-19,2026-07-30,0,0,,,,,,inconclusivo,serie do Yahoo nao cobre o periodo do ticker antigo: nao houve emenda,1.0.0,alta,AXIA6,,,,,pendente_revisao,nao,,,,pendente,,1.0.0,,nao,8f15f06afb86f2c3
SMLE3,SMLS3,SMILES,SMILES,BRSMLEACNOR1,BRSMLSACNOR1,ON,ON,2017-10-20,2017-10-23,1,0.9804,54284362.5,48602958.0,42.0,53.0,top100,alta,SMLS3,,,0,0,,,,,,serie_ausente,yfinance nao tem serie para o ticker novo,1.0.0,alta,SMLE3,,,,,pendente_revisao,nao,,,,pendente,,1.0.0,,nao,0267d15b88fa4bbb
ARZZ3,AZZA3,AREZZO CO,AZZAS 2154,BRARZZACNOR3,BRAZZAACNOR9,ON,ON,2024-07-31,2024-08-01,1,1.0358,82480562.0,78289291.5,43.0,,top100,media,AZZA3,2014-01-02,2026-07-30,2374,70,0.999809,2e-08,7e-08,1.0,0.000354,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 2.0e-08, correlacao 0.9998, 2374 datas)",1.0.0,alta,ARZZ3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,dab1abbfe607546b
RUMO3,RAIL3,RUMO LOG,RUMO S.A.,BRRUMOACNOR3,BRRAILACNOR9,ON,ON,2017-03-10,2017-03-13,1,1.0392,60580725.0,56172744.0,45.0,15.0,top100,media,RAIL3,2015-04-02,2026-07-30,480,8,0.996738,3e-08,0.00314949,1.0,3.390846,retornos_consistentes_com_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9967, 480 datas); razao de precos INSTAVEL (dispersao 3.391): houve evento societario no periodo, a serie nao e uma simples renomeacao com fator unico",1.0.0,alta,RAIL3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,152b914bc9ba839b
TIMP3,TIMS3,TIM PART S/A,TIM,BRTIMPACNOR1,BRTIMSACNOR5,ON,ON,2020-10-09,2020-10-13,1,0.9844,108327146.0,66121288.0,47.0,30.0,top100,media,TIMS3,2014-01-02,2026-07-30,1429,28,0.991594,3e-08,0.00686118,1.0,0.002207,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9916, 1429 datas)",1.0.0,alta,TIMP3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,216452acaf627b5f
PETZ3,AUAU3,PETZ,PETZCOBASI,BRPETZACNOR2,BRAUAUACNOR1,ON,ON,2026-01-02,2026-01-05,1,0.8815,15547813.5,12336518.5,52.0,,top100+ponta_curta,media,AUAU3,2026-01-05,2026-07-30,0,0,,,,,,inconclusivo,serie do Yahoo nao cobre o periodo do ticker antigo: nao houve emenda,1.0.0,alta,AUAU3,,,,,pendente_revisao,nao,,,,pendente,,1.0.0,,nao,9f82ff600c0f3b47
ODPV3,SAUD3,ODONTOPREV,BRADSAUDE,BRODPVACNOR4,BRSAUDACNOR9,ON,ON,2026-05-04,2026-05-05,1,1.0606,47345696.0,50703422.0,61.0,,top100+ponta_curta,media,SAUD3,2014-01-02,2026-07-30,2810,159,0.995613,3e-08,0.00096555,0.909091,0.048039,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 3.0e-08, correlacao 0.9956, 2810 datas); escala reajustada por fator 0.9091",1.0.0,alta,ODPV3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,f32062c96622a219
ALSO3,ALOS3,ALIANSCSONAE,ALLOS,BRALSOACNOR5,BRALOSACNOR5,ON,ON,2023-10-24,2023-10-25,1,0.9923,98663071.0,94080770.5,82.0,37.0,top100,media,ALOS3,2014-01-02,2026-07-30,1050,12,0.999858,2e-08,7e-08,1.0,0.000358,retornos_consistentes_sem_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 2.0e-08, correlacao 0.9999, 1050 datas)",1.0.0,alta,ALOS3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,6a4a0bd60435c17f
GUAR3,RIAA3,GUARARAPES,RIACHUELO,BRGUARACNOR4,BRRIAAACNOR2,ON,ON,2026-02-04,2026-02-05,1,0.9379,17654666.0,18582827.0,94.0,,top100+ponta_curta,media,RIAA3,2014-01-02,2026-07-30,2751,64,0.999545,2e-08,7e-08,1.0,0.426355,retornos_consistentes_com_quebra_escala,"retornos reproduzem o COTAHIST (erro mediano 2.0e-08, correlacao 0.9995, 2751 datas); razao de precos INSTAVEL (dispersao 0.426): houve evento societario no periodo, a serie nao e uma simples renomeacao com fator unico",1.0.0,alta,GUAR3,,,,,pendente_revisao,nao,,,,consistente_numericamente_pendente_documentacao,,1.0.0,,nao,98f0fb582fa6245f
