ticker_observado,emissor_id,setor,subsetor,segmento,fonte,data_fonte,evidencia,estabilidade_documentada,validade_inicio,validade_fim,confianca,status_revisao
ABCB4,ABCB,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ABCB; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
ABEV3,ABEV,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ABEV; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
ALOS3,ALOS,Financeiro,Exploração de Imóveis,Exploração de Imóveis,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ALOS; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2023-10-25,2026-07-27,alta,confirmado
ALPA4,ALPA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ALPA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
ALSC3,ALSC,Financeiro,Exploração de Imóveis,Exploração de Imóveis,https://www.fundamentus.com.br/detalhes.php?papel=ALSC3,2026-08-07,documento indicado registra ALSC3 em Financeiro / Exploração de Imóveis / Exploração de Imóveis; identidade e atividade reconciliadas com FCA/CVM,sim,2015-01-02,2019-08-05,alta,confirmado
ALSO3,ALSO,Financeiro,Exploração de Imóveis,Exploração de Imóveis,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ALSO; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2019-08-06,2023-10-24,alta,confirmado
ALUP11,ALUP,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ALUP; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
AMAR3,AMAR,Consumo Cíclico,Comércio Varejista,"Tecidos, Vestuário e Calçados",B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=AMAR; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
AMBP3,AMBP,Utilidade Pública,Água e Saneamento,Água e Saneamento,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=AMBP; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2020-07-13,2025-10-21,alta,confirmado
ANIM3,ANIM,Consumo Cíclico,Diversos,Serviços Educacionais,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ANIM; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
ARZZ3,ARZZ,Consumo Cíclico,Comércio Varejista,"Tecidos, Vestuário e Calçados",B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=ARZZ; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2015-01-02,2024-07-31,alta,confirmado
ASAI3,ASAI,Consumo não Cíclico,Comércio e Distribuição,Alimentos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=ASAI; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2021-03-01,2026-07-27,alta,confirmado
AURE3,AURE,Utilidade Pública,Energia Elétrica,Energia Elétrica,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=AURE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2022-03-28,2026-07-27,alta,confirmado
AZUL4,AZUL,Bens Industriais,Transporte,Linhas Aéreas de Passageiros,B3 classificação setorial 15/09/2022 + CVM/FCA,2022-09-15,B3 código=AZUL; snapshot sha256=6127B9F03E2D; atividade histórica FCA revisada,sim,2017-04-11,2025-05-28,alta,confirmado
B3SA3,B3SA,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=B3SA; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2018-03-26,2026-07-27,alta,confirmado
BBAS3,BBAS,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BBAS; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BBDC3,BBDC,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BBDC; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BBDC4,BBDC,Financeiro,Intermediários Financeiros,Bancos,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BBDC; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BBSE3,BBSE,Financeiro,Previdência e Seguros,Seguradoras,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BBSE; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BBTG11,BBTG,Financeiro,Intermediários Financeiros,Bancos,https://www.b3.com.br/lumis/portal/file/fileDownload.jsp?fileId=8AA8D0975DCEB7B1015DE33442493AA9 | https://ri.pplaparticipations.com/ppla-news/fato-relevante-migracao-automatica-de-units/,2026-08-07,circular B3 e fato relevante documentam BBTG11 e a migração automática posterior; classificação histórica bancária revisada,sim,2015-01-02,2017-08-18,media,confirmado
BEEF3,BEEF,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,B3 classificação setorial atual + CVM/FCA,2026-08-07,B3 código=BEEF; snapshot sha256=AA2595618AD4; atividade histórica FCA revisada,sim,2015-01-02,2026-07-27,alta,confirmado
BIDI11,BIDI,Financeiro,Intermediários Financeiros,Bancos,https://www.fundamentus.com.br/detalhes.php?papel=BIDI11,2026-08-07,documento indicado registra BIDI11 em Financeiro / Intermediários Financeiros / Bancos; identidade e atividade reconciliadas com FCA/CVM,sim,2018-04-30,2022-06-17,alta,confirmado
BIDI4,BIDI,Financeiro,Intermediários Financeiros,Bancos,https://www.fundamentus.com.br/detalhes.php?papel=BIDI4,2026-08-07,documento indicado registra BIDI4 em Financeiro / Intermediários Financeiros / Bancos; identidade e atividade reconciliadas com FCA/CVM,sim,2018-05-11,2022-06-17,alta,confirmado
